id_exercise,category_path,exercise_type,conversion_type
6_1,,transforme_mot,transforme_mot
6_2,well_converted/classe-cm,classe,classe
6_4,,expression_ecrite,expression_ecrite
7_6,,transforme_phrase,transforme_phrase
7_7,,coche_mots,coche_mots
7_8,,vrai-faux,vrai-faux
7_11,,transforme_mot,transforme_mot
7_13,,expression_ecrite,expression_ecrite
8_2,,coche_phrases,coche_phrases
9_4,,swap,swap
9_7,,transforme_phrase,transforme_phrase
9_8,,texte,texte
9_9,,expression_ecrite,expression_ecrite
9_10,,remplir_clavier_image,remplir_clavier_image
11_1,,coche_phrases,coche_phrases
11_2,,classe,classe
11_3,,edit_phrase,edit_phrase
11_4,,edit_phrase,edit_phrase
11_6,,texte,texte
11_7,,expression_ecrite,expression_ecrite
12_1,,coche_phrases,coche_phrases
13_2,,classe-cm,classe-cm
13_4,,transforme_phrase,transforme_phrase
13_5,,transforme_phrase,transforme_phrase
13_6,,transforme_phrase,transforme_phrase
13_7,,texte,texte
13_8,,transforme_phrase,transforme_phrase
13_9,,expression_ecrite,expression_ecrite
14_1,,coche_phrases,coche_phrases
15_3,,transforme_phrase,transforme_phrase
15_4,,remplir_clavier,remplir_clavier
15_5,,choix-multiples,choix-multiples
15_6,,transforme_phrase,transforme_phrase
15_7,,transforme_phrase,transforme_phrase
15_8,,transforme_phrase,transforme_phrase
15_9,,transforme_phrase,transforme_phrase
15_10,,remplir_clavier_image,remplir_clavier_image
15_11,,expression_ecrite,expression_ecrite
16_1,,coche_mots,coche_mots
16_2,,coche_mots,coche_mots
16_3,,transforme_mot,transforme_mot
16_4,,remplir_clavier,remplir_clavier
16_5,,transforme_mot,transforme_mot
16_8,,edit_phrase,edit_phrase
17_9,incorrectly_converted/texte,choix-multiples,choix-multiples
17_10,,choix-multiples,choix-multiples
17_11,,classe,classe
17_12,,transforme_phrase,transforme_phrase
17_13,,classe-cm,classe-cm
17_14,,transforme_phrase,transforme_phrase
17_15,,transforme_phrase,transforme_phrase
18_1,,coche_mots,coche_mots
18_2,,vrai-faux,vrai-faux
19_3,,classe,classe
19_4,,remplir_clavier,remplir_clavier
19_5,,edit_phrase,edit_phrase
19_6,,remplir_clavier_image,remplir_clavier_image
19_7,,remplir_clavier,remplir_clavier
19_8,,expression_ecrite,expression_ecrite
20_1,,vrai-faux,vrai-faux
21_2,,edit_phrase,edit_phrase
21_3,,coche_mots,coche_mots
21_4,,coche_mots,coche_mots
21_5,,choix-multiples,choix-multiples
21_6,,edit_phrase,edit_phrase
21_7,,choix-multiples,choix-multiples
21_8,,remplir_clavier,remplir_clavier
21_9,,expression_ecrite,expression_ecrite
21_10,,expression_ecrite,expression_ecrite
22_1,,coche_phrases,coche_phrases
22_2,,coche_mots,coche_mots
22_3,,cache_intrus,cache_intrus
23_4,,coche_mots,coche_mots
23_5,,coche_mots,coche_mots
23_6,,edit_phrase,edit_phrase
23_7,,edit_phrase,edit_phrase
23_8,,remplir_clavier_double,remplir_clavier_double
23_9,,remplir_clavier,remplir_clavier
23_10,,coche_mots,coche_mots
23_11,,expression_ecrite,expression_ecrite
24_1,,coche_mots,coche_mots
24_2,,coche_mots,coche_mots
25_3,,coche_mots,coche_mots
25_4,,coche_mots,coche_mots
25_5,,edit_phrase,edit_phrase
25_6,,coche_phrases,coche_phrases
25_7,,choix-multiples,choix-multiples
25_8,,remplir_clavier,remplir_clavier
25_9,,remplir_clavier_double,remplir_clavier_double
25_10,,expression_ecrite,expression_ecrite
26_1,,coche_mots,coche_mots
26_2,,cache_intrus,cache_intrus
26_3,,coche_mots,coche_mots
26_5,,choix-multiples,choix-multiples
26_6,,choix-multiples,choix-multiples
26_7,,edit_phrase,edit_phrase
26_8,,remplir_clavier,remplir_clavier
27_9,,coche_mots,coche_mots
27_10,,coche_intrus,coche_intrus
27_12,,transforme_mot,transforme_mot
27_13,,coche_mots,coche_mots
27_14,,remplir_clavier_double,remplir_clavier_double
27_15,,coche_mots,coche_mots
27_16,,remplir_clavier,remplir_clavier
28_1,,coche_phrases,coche_phrases
28_2,,cache_intrus,cache_intrus
29_3,,classe,classe
29_4,,edit_phrase,edit_phrase
29_6,,edit_phrase,edit_phrase
29_7,,transforme_mot,transforme_mot
29_8,,transforme_mot,transforme_mot
29_9,,classe,classe
29_10,,classe,classe
29_11,,expression_ecrite,expression_ecrite
30_1,,classe,classe
30_2,,coche_mots,coche_mots
31_3,,choix-multiples,choix-multiples
31_4,,remplir_clavier,remplir_clavier
31_5,,edit_phrase,edit_phrase
31_6,,remplir_clavier_double,remplir_clavier_double
31_7,,choix-multiples,choix-multiples
31_8,,edit_phrase,edit_phrase
31_9,,expression_ecrite,expression_ecrite
32_1,,vrai-faux,vrai-faux
33_3,,coche_phrases,coche_phrases
33_4,,coche_mots,coche_mots
33_6,,edit_phrase,edit_phrase
33_7,,transforme_phrase,transforme_phrase
33_8,,remplir_clavier,remplir_clavier
33_9,,expression_ecrite,expression_ecrite
34_1,,coche_phrases,coche_phrases
34_2,,coche_mots,coche_mots
35_3,,coche_mots,coche_mots
35_4,,choix-multiples,choix-multiples
35_5,,edit_phrase,edit_phrase
35_7,,edit_phrase,edit_phrase
35_8,,transforme_mot,transforme_mot
35_9,,texte,texte
35_10,,expression_ecrite,expression_ecrite
36_1,,coche_phrases,coche_phrases
36_2,,edit_phrase,edit_phrase
37_3,,edit_phrase,edit_phrase
37_4,,edit_phrase,edit_phrase
37_6,,transforme_mot,transforme_mot
37_7,,choix-multiples,choix-multiples
37_8,,remplir_clavier_image,remplir_clavier_image
37_9,,remplir_clavier_double,remplir_clavier_double
37_10,,remplir_clavier,remplir_clavier
37_11,,expression_ecrite,expression_ecrite
38_1,,coche_mots,coche_mots
38_2,,transforme_mot,transforme_mot
38_3,,edit_phrase,edit_phrase
38_4,,transforme_mot,transforme_mot
38_5,,coche_intrus,coche_intrus
38_6,,classe-cm,classe-cm
38_7,,classe,classe
39_8,,choix-multiples,choix-multiples
39_9,,coche_mots,coche_mots
39_10,,edit_phrase,edit_phrase
39_11,,coche_mots,coche_mots
39_12,,coche_mots,coche_mots
39_13,,edit_phrase,edit_phrase
39_14,,transforme_mot,transforme_mot
42_1,,coche_phrases,coche_phrases
43_2,,classe,classe
43_3,,coche_groupe_mots,coche_groupe_mots
43_4,,coche_groupe_mots,coche_groupe_mots
43_5,,coche_groupe_mots,coche_groupe_mots
43_6,,choix-multiples,choix-multiples
43_7,,choix-multiples,choix-multiples
43_9,,remplir_clavier_image,remplir_clavier_image
44_1,,coche_mots,coche_mots
44_2,,coche_mots,coche_mots
45_4,,remplir_clavier,remplir_clavier
45_5,,remplir_clavier,remplir_clavier
45_6,,remplir_clavier_image,remplir_clavier_image
45_7,,transforme_mot,transforme_mot
45_8,,transforme_phrase,transforme_phrase
45_9,,transforme_mot,transforme_mot
45_10,,cache_intrus,cache_intrus
45_11,,transforme_phrase,transforme_phrase
46_1,,coche_mots,coche_mots
46_2,,coche_mots,coche_mots
47_3,,transforme_phrase,transforme_phrase
47_4,,edit_phrase,edit_phrase
47_6,,classe,classe
47_7,,choix-multiples,choix-multiples
47_8,,choix-multiples,choix-multiples
47_9,,remplir_clavier,remplir_clavier
47_10,,classe-cm,classe-cm
48_1,,coche_groupe_mots,coche_groupe_mots
48_2,,coche_mots,coche_mots
49_3,,choix-multiples,choix-multiples
49_4,,remplir_clavier,remplir_clavier
49_5,,choix-multiples,choix-multiples
49_6,,remplir_clavier,remplir_clavier
49_7,,remplir_clavier_cadre,remplir_clavier_cadre
49_8,,expression_ecrite,expression_ecrite
49_9,,expression_ecrite,expression_ecrite
50_1,,coche_groupe_mots,coche_groupe_mots
51_2,,choix-multiples,choix-multiples
51_3,,remplir_clavier,remplir_clavier
51_4,,transforme_mot,transforme_mot
51_5,,remplir_clavier_cadre,remplir_clavier_cadre
51_6,,remplir_clavier_cadre,remplir_clavier_cadre
51_7,,remplir_clavier_cadre,remplir_clavier_cadre
51_8,,remplir_clavier,remplir_clavier
51_9,,transforme_phrase,transforme_phrase
51_10,,expression_ecrite,expression_ecrite
51_11,,expression_ecrite,expression_ecrite
52_1,,coche_mots,coche_mots
52_2,,cache_intrus,cache_intrus
52_3,,classe-cm,classe-cm
52_4,,classe,classe
52_5,,remplir_clavier,remplir_clavier
53_6,,choix-multiples,choix-multiples
53_8,,remplir_clavier_cadre,remplir_clavier_cadre
53_9,,edit_phrase,edit_phrase
53_10,,remplir_clavier,remplir_clavier
53_11,,expression_ecrite,expression_ecrite
54_1,,vrai-faux,vrai-faux
54_2,,choix-multiples,choix-multiples
54_3,,choix-multiples,choix-multiples
54_4,,cache_intrus,cache_intrus
54_5,,coche_phrases,coche_phrases
55_6,,remplir_clavier,remplir_clavier
55_7,,choix-multiples,choix-multiples
55_8,,remplir_clavier_cadre,remplir_clavier_cadre
55_9,,remplir_clavier,remplir_clavier
55_10,,remplir_clavier,remplir_clavier
55_11,,remplir_clavier_double,remplir_clavier_double
55_12,,edit_phrase,edit_phrase
55_13,,edit_phrase,edit_phrase
55_14,,edit_phrase,edit_phrase
56_1,,cache_intrus,cache_intrus
56_3,,choix-multiples,choix-multiples
56_4,,choix-multiples,choix-multiples
57_5,,choix-multiples,choix-multiples
57_6,,transforme_mot,transforme_mot
57_7,,remplir_clavier,remplir_clavier
57_8,,remplir_clavier,remplir_clavier
57_9,,remplir_clavier,remplir_clavier
57_10,,edit_phrase,edit_phrase
57_11,,transforme_phrase,transforme_phrase
57_12,,transforme_phrase,transforme_phrase
57_13,,edit_phrase,edit_phrase
57_14,,expression_ecrite,expression_ecrite
57_15,,expression_ecrite,expression_ecrite
58_1,,vrai-faux,vrai-faux
58_2,,cache_intrus,cache_intrus
58_3,,choix-multiples,choix-multiples
58_4,,transforme_mot,transforme_mot
58_5,,choix-multiples,choix-multiples
58_6,,remplir_clavier,remplir_clavier
59_7,,remplir_clavier,remplir_clavier
59_8,,remplir_clavier,remplir_clavier
59_9,,edit_phrase,edit_phrase
59_10,,edit_phrase,edit_phrase
59_11,,remplir_clavier,remplir_clavier
59_12,,expression_ecrite,expression_ecrite
60_1,,cache_intrus,cache_intrus
60_2,,coche_mots,coche_mots
60_4,,remplir_clavier,remplir_clavier
60_5,,choix-multiples,choix-multiples
61_6,,remplir_clavier_cadre,remplir_clavier_cadre
61_7,,transforme_phrase,transforme_phrase
61_8,,remplir_clavier,remplir_clavier
61_9,,transforme_phrase,transforme_phrase
61_10,,edit_phrase,edit_phrase
61_11,,remplir_clavier,remplir_clavier
61_12,,transforme_phrase,transforme_phrase
61_13,,transforme_phrase,transforme_phrase
61_14,,expression_ecrite,expression_ecrite
62_1,,coche_phrases,coche_phrases
62_2,,cache_intrus,cache_intrus
62_3,,coche_mots,coche_mots
62_5,,remplir_clavier,remplir_clavier
62_6,,coche_groupe_mots,coche_groupe_mots
62_7,,choix-multiples,choix-multiples
63_8,,remplir_clavier,remplir_clavier
63_9,,remplir_clavier_image,remplir_clavier_image
63_10,,transforme_mot,transforme_mot
63_11,,remplir_clavier_cadre,remplir_clavier_cadre
63_12,,transforme_phrase,transforme_phrase
63_13,,edit_phrase,edit_phrase
64_1,,cache_intrus,cache_intrus
65_2,,coche_phrases,coche_phrases
65_4,,remplir_clavier_cadre,remplir_clavier_cadre
65_5,,transforme_mot,transforme_mot
65_6,,remplir_clavier,remplir_clavier
65_7,,transforme_phrase,transforme_phrase
65_8,,texte,texte
65_9,,expression_ecrite,expression_ecrite
66_1,,classe,classe
66_2,,coche_phrases,coche_phrases
66_3,,choix-multiples,choix-multiples
66_4,,remplir_clavier,remplir_clavier
66_5,,remplir_clavier,remplir_clavier
66_6,,remplir_clavier,remplir_clavier
67_7,,remplir_clavier_cadre,remplir_clavier_cadre
67_8,,choix-multiples,choix-multiples
67_9,,transforme_phrase,transforme_phrase
67_10,,edit_phrase,edit_phrase
67_11,,remplir_clavier,remplir_clavier
67_12,,remplir_clavier,remplir_clavier
67_13,,edit_phrase,edit_phrase
67_14,,texte,texte
67_15,,remplir_clavier,remplir_clavier
68_1,,coche_phrases,coche_phrases
68_2,,cache_intrus,cache_intrus
68_3,,coche_groupe_mots,coche_groupe_mots
68_4,,choix-multiples,choix-multiples
69_5,,edit_phrase,edit_phrase
69_6,,edit_phrase,edit_phrase
69_7,,remplir_clavier_cadre,remplir_clavier_cadre
69_8,,edit_phrase,edit_phrase
69_9,,edit_phrase,edit_phrase
69_10,,edit_phrase,edit_phrase
69_11,,remplir_clavier,remplir_clavier
69_12,,remplir_clavier_double,remplir_clavier_double
69_13,,transforme_phrase,transforme_phrase
69_14,,expression_ecrite,expression_ecrite
70_1,incorrectly_extracted/coche_phrases,coche_phrases,coche_phrases
70_2,,coche_phrases,coche_phrases
70_3,,transforme_phrase,transforme_phrase
70_4,,coche_groupe_mots,coche_groupe_mots
70_5,,cache_intrus,cache_intrus
70_6,,choix-multiples,choix-multiples
71_7,,remplir_clavier,remplir_clavier
71_8,,choix-multiples,choix-multiples
71_9,,remplir_clavier,remplir_clavier
71_10,,remplir_clavier_cadre,remplir_clavier_cadre
71_11,,edit_phrase,edit_phrase
71_12,,edit_phrase,edit_phrase
71_13,,transforme_phrase,transforme_phrase
71_14,,expression_ecrite,expression_ecrite
72_1,,coche_phrases,coche_phrases
72_2,,coche_phrases,coche_phrases
72_3,,coche_phrases,coche_phrases
72_4,,coche_groupe_mots,coche_groupe_mots
72_5,,coche_mots,coche_mots
72_6,,coche_intrus,coche_intrus
72_8,,remplir_clavier,remplir_clavier
73_9,,remplir_clavier,remplir_clavier
73_10,,transforme_mot,transforme_mot
73_11,,remplir_clavier_cadre,remplir_clavier_cadre
73_12,,edit_phrase,edit_phrase
73_13,,remplir_clavier,remplir_clavier
73_14,,transforme_mot,transforme_mot
73_15,,remplir_clavier_cadre,remplir_clavier_cadre
73_16,,remplir_clavier_image,remplir_clavier_image
73_17,,edit_phrase,edit_phrase
73_18,,remplir_clavier_double,remplir_clavier_double
74_1,,coche_phrases,coche_phrases
75_2,,coche_groupe_mots,coche_groupe_mots
75_3,,coche_mots,coche_mots
75_4,,coche_mots,coche_mots
75_5,,remplir_clavier,remplir_clavier
75_6,,remplir_clavier_cadre,remplir_clavier_cadre
75_7,,remplir_clavier_cadre,remplir_clavier_cadre
75_8,,edit_phrase,edit_phrase
75_9,,expression_ecrite,expression_ecrite
76_1,,coche_mots,coche_mots
77_3,,remplir_clavier,remplir_clavier
77_4,,remplir_clavier,remplir_clavier
77_5,,remplir_clavier,remplir_clavier
77_6,,remplir_clavier,remplir_clavier
77_7,,edit_phrase,edit_phrase
77_8,,remplir_clavier,remplir_clavier
77_9,,edit_phrase,edit_phrase
77_11,,expression_ecrite,expression_ecrite
78_1,,coche_groupe_mots,coche_groupe_mots
78_2,,coche_phrases,coche_phrases
78_3,,remplir_clavier,remplir_clavier
79_5,,edit_phrase,edit_phrase
79_6,,remplir_clavier,remplir_clavier
79_7,,edit_phrase,edit_phrase
79_8,,remplir_clavier,remplir_clavier
79_9,,transforme_phrase,transforme_phrase
79_10,,remplir_clavier,remplir_clavier
79_11,,remplir_clavier,remplir_clavier
79_12,,expression_ecrite,expression_ecrite
80_1,,coche_phrases,coche_phrases
80_2,,coche_phrases,coche_phrases
80_3,,remplir_clavier,remplir_clavier
81_4,,transforme_phrase,transforme_phrase
81_5,,edit_phrase,edit_phrase
81_6,,remplir_clavier,remplir_clavier
81_7,,remplir_clavier_cadre,remplir_clavier_cadre
81_8,,edit_phrase,edit_phrase
81_9,,edit_phrase,edit_phrase
81_10,,expression_ecrite,expression_ecrite
81_11,,remplir_clavier,remplir_clavier
81_12,,remplir_clavier_cadre,remplir_clavier_cadre
81_13,,expression_ecrite,expression_ecrite
82_1,,coche_phrases,coche_phrases
82_2,,coche_phrases,coche_phrases
83_4,,coche_mots,coche_mots
83_5,,coche_mots,coche_mots
83_6,,remplir_clavier,remplir_clavier
83_7,,remplir_clavier,remplir_clavier
83_8,,transforme_mot,transforme_mot
83_9,,edit_phrase,edit_phrase
83_10,,transforme_phrase,transforme_phrase
83_11,,texte,texte
83_12,,expression_ecrite,expression_ecrite
84_1,,coche_groupe_mots,coche_groupe_mots
84_2,,coche_phrases,coche_phrases
84_4,,remplir_clavier,remplir_clavier
84_5,,coche_phrases,coche_phrases
85_7,,remplir_clavier,remplir_clavier
85_8,,remplir_clavier,remplir_clavier
85_9,,remplir_clavier_cadre,remplir_clavier_cadre
85_10,,edit_phrase,edit_phrase
85_11,,remplir_clavier,remplir_clavier
85_12,,remplir_clavier,remplir_clavier
85_13,,texte,texte
86_1,,coche_groupe_mots,coche_groupe_mots
86_2,,coche_phrases,coche_phrases
86_3,,transforme_phrase,transforme_phrase
87_5,,edit_phrase,edit_phrase
87_6,,edit_phrase,edit_phrase
87_7,,remplir_clavier_cadre,remplir_clavier_cadre
87_8,,remplir_clavier_cadre,remplir_clavier_cadre
87_9,,remplir_clavier_cadre,remplir_clavier_cadre
87_10,,expression_ecrite,expression_ecrite
87_11,,edit_phrase,edit_phrase
87_12,,edit_phrase,edit_phrase
87_13,,expression_ecrite,expression_ecrite
88_1,,coche_mots,coche_mots
88_2,,coche_mots,coche_mots
88_3,,coche_phrases,coche_phrases
88_4,,transforme_phrase,transforme_phrase
88_5,,classe,classe
88_7,,coche_mots,coche_mots
89_9,,transforme_mot,transforme_mot
89_10,,edit_phrase,edit_phrase
89_11,,remplir_clavier,remplir_clavier
89_12,,edit_phrase,edit_phrase
89_13,,coche_phrases,coche_phrases
89_14,,remplir_clavier,remplir_clavier
89_15,,remplir_clavier,remplir_clavier
89_16,,remplir_clavier_cadre,remplir_clavier_cadre
92_1,,coche_phrases,coche_phrases
92_2,,transforme_mot,transforme_mot
93_4,,swap,swap
93_5,,expression_ecrite,expression_ecrite
93_6,,expression_ecrite,expression_ecrite
93_7,,transforme_phrase,transforme_phrase
93_11,,expression_ecrite,expression_ecrite
94_1,,classe,classe
94_2,,coche_intrus,coche_intrus
94_3,,classe,classe
94_4,,edit_phrase,edit_phrase
95_5,,remplir_clavier_image,remplir_clavier_image
95_6,,edit_phrase,edit_phrase
95_7,,edit_phrase,edit_phrase
95_8,,edit_phrase,edit_phrase
95_9,,edit_phrase,edit_phrase
95_10,,edit_phrase,edit_phrase
95_11,,texte,texte
95_12,,expression_ecrite,expression_ecrite
96_1,,classe,classe
96_2,,classe,classe
96_3,,classe,classe
97_4,,coche_intrus,coche_intrus
97_5,,coche_mots,coche_mots
97_6,,choix-multiples,choix-multiples
97_7,,choix-multiples,choix-multiples
97_8,,choix-multiples,choix-multiples
97_9,,choix-multiples,choix-multiples
97_10,,remplir_clavier,remplir_clavier
97_11,,remplir_clavier_image,remplir_clavier_image
97_12,,remplir_clavier_image,remplir_clavier_image
97_13,,choix-multiples,choix-multiples
97_14,,remplir_clavier_image,remplir_clavier_image
98_1,,classe,classe
99_2,,vrai-faux,vrai-faux
99_3,,coche_intrus,coche_intrus
99_4,,choix-multiples,choix-multiples
99_5,,choix-multiples,choix-multiples
99_6,,choix-multiples,choix-multiples
99_7,,remplir_clavier_image,remplir_clavier_image
99_8,,remplir_clavier,remplir_clavier
99_9,,texte,texte
99_10,,expression_ecrite,expression_ecrite
100_1,,classe,classe
101_2,,cache_intrus,cache_intrus
101_3,,coche_mots,coche_mots
101_4,,choix-multiples,choix-multiples
101_5,,coche_mots,coche_mots
101_6,,coche_mots,coche_mots
101_7,,remplir_clavier,remplir_clavier
101_8,,texte,texte
